plntname,ra_str,ra,dec_str,dec,imdelthmag,imdelthmagerr,imdelthmaglim,imdeltjmag,imdeltjmagerr,imdeltjmaglim,imdeltkmag,imdeltkmagerr,imdeltkmaglim,imdeltlpmag,imdeltlpmagerr,imdeltlpmaglim,imangsep,imangseperr1,imangseperr2,imangseplim,imsep,imseperr1,imseperr2,imseplim,imtruesep,imtrueseperr1,imtrueseperr2,imtrueseplim,impa,impaerr1,impaerr2,impalim,imdist,imdisterr1,imdisterr2,imdistlim,imtelescope,iminstrument,imdateobs,imcluster,imreflink,imdisk,imcorona,imifu,ns,glon,glat,imjmag,imjmagerr,imjmaglim,imhmag,imhmagerr,imhmaglim,imkmag,imkmagerr,imkmaglim,imlpmag,imlpmagerr,imlpmaglim,implnjmag,implnjmagerr,implnjmaglim,implnhmag,implnhmagerr,implnhmaglim,implnkmag,implnkmagerr,implnkmaglim,implnlpmag,implnlpmagerr,implnlpmaglim,imstype,immass,immasserr1,immasserr2,immasslim,image,imageerr1,imageerr2,imagelim,imlum,imlumerr1,imlumerr2,imlumlim,implmass,implmasserr1,implmasserr2,implmasslim,implstype,impltemp,impltemperr1,impltemperr2,impltemplim,implradius,implradiuserr1,implradiuserr2,implradiuslim,immodel,immodeldef,imnotes,pl_name,hostname,pl_rade,pl_masse,pl_orbper,pl_orbsmax,st_spectype,st_teff,st_rad,pl_dens,st_met,luminosity,hz_inner,hz_outer,s_eff,equilibrium_temp,greenhouse_factor,habitable_zone,esi,size_category,mass_category
GJ 504 b,16:46.5,199.193817,+09:25:27.0,9.42415619,16.28,0.14,0.0,15.8,0.15,0.0,15.4,0.28,0.0,12.9,0.21,0.0,2.499,0.026,-0.026,0.0,43.9,0.1,-0.1,0.0,34.5,2.0,-2.0,0.0,326.1,0.6,-0.6,0.0,17.6,0.1,-0.1,0.0,Subaru,"IRCS, HiCIAO","2011-03-26, 2011-05-22, 2011-08-12, 2011-08-15, 2012-02-28, 2012-04-12, 2012-05-25",Sco OB2/Lower Centaurus-Crux (LCC),<a href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774...11K/abstract target=ref>Kuzuhara et al. 2013</a>,0,0,0,1,322.79015,71.3123997,4.11,0.03,0.0,3.86,0.05,0.0,3.81,0.03,0.0,3.94,0.09,0.0,19.9,0.15,0.0,20.14,0.14,0.0,19.2,0.28,0.0,16.8,0.19,0.0,G0V,1.22,0.08,-0.08,0.0,160.0,70.0,-60.0,0.0,0.3,0.0,0.0,0.0,4.0,4.5,-1.0,0.0,T/Y,510.0,30.0,-20.0,0.0,1.11,0.11,-0.11,0.0,"COND, Baraffe et al. 2003",1,The imhmag is in H2-band.,GJ 504 b,GJ 504,2.38,1271.3,11.546399999999998,43.5,F,6234.0,0.95,1.395,0.28,971196984.4491802,24173.060466359173,34860.097725170606,40843.1234749715,595.858973738222,1.5,no,0.1618728283908855,Neptune-like,High-mass
2MASS J12073346-3932539 b,07:33.5,181.889447,-39:32:54.0,-39.548332,5.7,0.21,0.0,5.5,0.15,-1.0,4.98,0.114,0.0,3.9,0.172,0.0,0.778,0.026,-0.026,0.0,55.0,0.1,-0.1,0.0,34.5,2.0,-2.0,0.0,125.8,0.6,-0.6,0.0,70.0,0.1,-0.1,0.0,VLT:Yepun,NACO,4/27/2004,Sco OB2/Lower Centaurus-Crux (LCC),<a href=https://ui.adsabs.harvard.edu/abs/2004A&A...425L..29C/abstract target=ref>Chauvin et al. 2004</a>,1,0,0,1,293.79036,22.5432974,13.0,0.03,0.0,12.39,0.03,0.0,11.95,0.03,0.0,11.38,0.1,0.0,18.5,0.15,-1.0,18.09,0.21,0.0,16.9,0.11,0.0,15.3,0.14,0.0,M8.5,1.22,0.08,-0.08,0.0,8.0,2.0,-2.0,0.0,0.3,0.0,0.0,0.0,5.0,2.0,-2.0,0.0,L5-L9.5,1250.0,200.0,-200.0,0.0,1.11,0.11,-0.11,0.0,"DUSTY, Chabrier et al. (2000), COND, Baraffe et al. (2002)",1,The imhmag is in H2-band.,2MASS J12073346-3932539 b,2MASS J12073346-3932539,2.38,1589.15,11.546399999999998,55.0,G,5552.0,0.95,1.395,0.0185,610995431.9318966,19173.303963558927,27649.922557974453,16073.213751822976,471.9428681064321,1.5,no,0.1618728283908855,Neptune-like,High-mass
AB Pic b,19:12.9,94.8038025,-58:03:15.5,-58.0543098,8.18,0.21,0.0,8.59,0.15,0.0,7.59,0.114,0.0,3.9,0.172,0.0,0.778,0.026,-0.026,0.0,55.0,0.1,-0.1,0.0,34.5,2.0,-2.0,0.0,125.8,0.6,-0.6,0.0,47.3,1.8,-1.7,0.0,VLT:Yepun,NACO,"2003-03-17, 2004-03-05, 2004-09-25",Tucana-Horologium,<a href=https://ui.adsabs.harvard.edu/abs/2005A&A...438L..29C/abstract target=ref>Chauvin et al. 2005</a>,0,1,0,1,266.94371,-26.9307986,7.58,0.03,0.0,7.09,0.03,0.0,6.98,0.03,0.0,11.38,0.1,0.0,16.2,0.15,0.0,15.27,0.21,0.0,14.6,0.11,0.0,15.3,0.14,0.0,M8.5,1.22,0.08,-0.08,0.0,30.0,2.0,-2.0,0.0,0.3,0.0,0.0,0.0,13.0,2.0,-2.0,0.0,"L1(+2,-1)",1513.0,200.0,-200.0,0.0,1.11,0.11,-0.11,0.0,Burrows et al (1997),1,The imhmag is in H2-band.,AB Pic b,AB Pic,2.38,4290.5,11.546399999999998,260.0,G,5552.0,0.95,1.395,0.0185,610995431.9318966,19173.303963558927,27649.922557974453,719.2525384506583,217.06214894860878,1.5,no,0.1618728283908855,Neptune-like,High-mass
bet Pic b,47:17.1,86.8211975,-51:03:59.4,-51.0665131,7.7,0.3,0.0,8.59,0.15,0.0,7.59,0.114,0.0,3.9,0.172,0.0,0.411,0.008,-0.008,0.0,7.9,0.2,0.2,0.0,34.5,2.0,-2.0,0.0,125.8,0.6,-0.6,0.0,19.2,0.2,-0.2,0.0,VLT:Yepun,NACO,11/10/2003,bet Pic,<a href=https://ui.adsabs.harvard.edu/abs/2009A&A...493L..21L/abstract target=ref>Lagrange et al. 2009</a>,1,0,0,1,258.36388,-30.6116321,7.58,0.03,0.0,7.09,0.03,0.0,6.98,0.03,0.0,3.5,0.1,0.0,16.2,0.15,0.0,11.2,0.3,0.0,14.6,0.11,0.0,15.3,0.14,0.0,A5V,1.8,0.08,-0.08,0.0,12.0,8.0,-4.0,0.0,0.3,0.0,0.0,0.0,8.0,4.0,-2.0,0.0,"L1(+2,-1)",1400.0,200.0,-200.0,0.0,1.11,0.11,-0.11,0.0,"DUSTY, Chabrier et al. (2000)",1,The imhmag is in H2-band.,bet Pic b,bet Pic,2.38,3727.80939,8617.50952,10.018,G,5552.0,0.95,1.395,0.0185,610995431.9318966,19173.303963558927,27649.922557974453,484469.0577051594,1105.8093521845467,1.5,no,0.8360944960676454,Neptune-like,High-mass
CFBDSIR J145829+101343 b,58:29.0,224.620833,+10:13:43.0,10.2286111,2.33,0.19,0.0,1.8,0.35,0.0,2.2,0.38,0.0,3.9,0.172,0.0,0.108,0.006,-0.006,0.0,2.6,0.3,-0.3,0.0,34.5,2.0,-2.0,0.0,308.0,2.0,-2.0,0.0,23.1,2.4,-2.4,0.0,Keck:II,NIRC2,7/8/2010,bet Pic,<a href=https://ui.adsabs.harvard.edu/abs/2011ApJ...740..108L/abstract target=ref>Liu et al. 2011</a>,0,0,0,1,9.59419,55.6550909,19.86,0.07,0.0,20.18,0.1,0.0,20.63,0.24,0.0,3.5,0.1,0.0,21.7,0.34,0.0,22.51,0.16,0.0,22.8,0.3,0.0,15.3,0.14,0.0,T9.5,0.01,0.0,0.0,0.0,1000.0,8.0,-4.0,0.0,0.0,0.0,0.0,0.0,7.0,1.5,-1.5,0.0,T10,350.0,40.0,-40.0,0.0,1.11,0.11,-0.11,0.0,"TUCSON, Burrows et al. 1997",1,Model does not correspond with date observed. Model does correspond with the stellar age.,CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,2.38,3337.1,10037.5,2.6,M,580.5,0.95,1.395,0.0185,73021.21077829045,209.60541139230656,302.2730669552211,859.5922075384698,226.95348966978997,1.5,no,0.8360944960676454,Neptune-like,High-mass
CHXR 73 b,06:28.8,166.619893,-77:37:33.2,-77.625877,5.2,0.19,0.0,5.2,0.35,0.0,4.7,0.38,0.0,3.9,0.172,0.0,1.3,0.03,-0.03,0.0,210.0,0.3,-0.3,0.0,34.5,2.0,-2.0,0.0,234.9,1.0,-1.0,0.0,161.5,0.0,0.0,0.0,Magellan:Clay,PANIC,4/30/2005,Chamaeleon I,<a href=https://ui.adsabs.harvard.edu/abs/2006ApJ...649..894L/abstract target=ref>Luhman et al. 2006</a>,0,0,0,1,297.27772,-15.9216421,12.7,0.3,0.0,11.3,0.3,0.0,10.8,0.25,0.0,3.5,0.1,0.0,17.9,0.3,0.0,16.5,0.3,0.0,15.5,0.25,0.0,15.3,0.14,0.0,M3.5,0.35,0.0,0.0,0.0,2.0,8.0,-4.0,0.0,0.0,0.0,0.0,0.0,13.0,8.4,-5.2,0.0,M9.5,350.0,40.0,-40.0,0.0,1.11,0.11,-0.11,0.0,"Chabrier et al. (2000), Burrows et al. (1997)",1,Model does not correspond with date observed. Model does correspond with the stellar age.,CHXR 73 b,CHXR 73,2.38,3994.486,11.546399999999998,210.0,G,5552.0,0.95,1.395,0.0185,610995431.9318966,19173.303963558927,27649.922557974453,1102.5277006635943,241.52446284076174,1.5,no,0.8360944960676454,Neptune-like,High-mass
CT Cha b,04:09.1,166.037877,-76:27:19.4,-76.455383,5.2,0.19,0.0,5.2,0.35,0.0,6.29,0.3,0.0,3.9,0.172,0.0,2.67,0.036,-0.036,0.0,440.0,0.3,-0.3,0.0,34.5,2.0,-2.0,0.0,300.7,1.2,-1.2,0.0,165.0,30.0,-30.0,0.0,VLT:Yepun,NACO,2/17/2006,Chamaeleon I,<a href=https://ui.adsabs.harvard.edu/abs/2008A&A...491..311S/abstract target=ref>Schmidt et al. 2008</a>,0,0,0,1,296.6537,-14.9091413,9.71,0.024,0.0,11.3,0.3,0.0,8.66,0.02,0.0,3.5,0.1,0.0,17.9,0.3,0.0,16.5,0.3,0.0,15.0,0.3,0.0,15.3,0.14,0.0,K7,0.7,0.0,0.0,0.0,2.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,17.0,6.0,-6.0,0.0,M8-L0,2600.0,250.0,-250.0,0.0,2.2,0.81,-0.6,0.0,"DUSTY-Phoenix, Brott & Hauschild 2005, UCM, Tsuji 2005",1,"multiple mass estimates are listed in paper, but the author commits to the value given.",CT Cha b,CT Cha,24.66,5403.0,11.546399999999998,440.0,G,5552.0,0.95,1.395,0.0185,610995431.9318966,19173.303963558927,27649.922557974453,251.143964872234,166.85700118534328,1.5,no,0.8360944960676454,Gas Giant,High-mass
DH Tau b,29:41.6,67.423158,+26:32:58.3,26.54952,6.14,0.05,0.0,5.94,0.05,0.0,6.01,0.04,0.0,3.9,0.172,0.0,2.3,0.036,-0.036,0.0,330.0,0.3,-0.3,0.0,34.5,2.0,-2.0,0.0,300.7,1.2,-1.2,0.0,140.0,15.0,-15.0,0.0,VLT:Melipal,SINFONI,"2007-10-22, 2007-12-18",Taurus,<a href=https://ui.adsabs.harvard.edu/abs/2012A&A...540A..85P/abstract target=ref>Patience et al. 2012</a>,0,0,1,1,171.89951,-14.9387211,9.77,0.02,0.0,8.82,0.03,0.0,8.18,0.03,0.0,3.5,0.1,0.0,15.7,0.05,0.0,14.96,0.04,0.0,14.2,0.02,0.0,15.3,0.14,0.0,M0.5,0.33,0.0,0.0,0.0,2.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,11.0,10.0,-3.0,0.0,L2,2700.0,250.0,-250.0,0.0,0.27,0.07,-0.07,0.0,"Allard et al. (2000), Itoh et al. (2005)",1,"multiple mass estimates are listed in paper, but the author commits to the value given.",DH Tau b,DH Tau,2.38,3496.0,11.546399999999998,330.0,G,5552.0,0.27,1.395,0.0185,49353536.828626335,5449.254810695696,7858.399042792741,36.06455163151416,102.71500266600546,1.5,no,0.8360944960676454,Neptune-like,High-mass
FU Tau b,23:35.7,65.898908,+25:02:59.6,25.049898,6.14,0.05,0.0,5.94,0.05,0.0,6.01,0.04,0.0,3.9,0.172,0.0,5.72,0.1,-0.1,0.0,800.8,0.1,-0.1,0.0,34.5,2.0,-2.0,0.0,123.2,1.0,-1.0,0.0,140.0,15.0,-15.0,0.0,UKIRT,SINFONI,12/31/2005,Taurus,<a href=https://ui.adsabs.harvard.edu/abs/2009ApJ...691.1265L/abstract target=ref>Luhman et al. 2009</a>,1,0,0,2,172.11559,-16.9607887,9.77,0.02,0.0,8.82,0.03,0.0,8.18,0.03,0.0,3.5,0.1,0.0,15.7,0.05,0.0,14.96,0.04,0.0,13.3,0.02,0.0,15.3,0.14,0.0,M0.5,0.33,0.0,0.0,0.0,2.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,16.0,10.0,-3.0,0.0,M9.25,2375.0,250.0,-250.0,0.0,0.27,0.07,-0.07,0.0,Luhman et al. (2003),1,"multiple mass estimates are listed in paper, but the author commits to the value given.",FU Tau b,FU Tau,2.38,5085.28,11.546399999999998,800.0,M,2838.0,0.95,1.395,0.0185,41714755.07289549,5009.828104388957,7224.699476855655,5.186804273217995,63.254104604040926,1.5,no,0.8360944960676454,Neptune-like,High-mass
GU Psc b,12:35.1,18.146006,+17:03:55.6,17.065475,8.1,0.04,0.0,7.09,0.04,0.0,8.06,0.04,0.0,3.9,0.172,0.0,41.97,0.03,-0.03,0.0,2000.0,200.0,-200.0,0.0,34.5,2.0,-2.0,0.0,123.2,1.0,-1.0,0.0,48.0,5.0,-5.0,0.0,CFHT,WIRCam,"2011-10-10, 2011-12-26, 2011-12-28, 2011-12,29, 2012-09-07",AB Doradus,<a href=https://ui.adsabs.harvard.edu/abs/2014ApJ...787....5N/abstract target=ref>Naud et al. 2014</a>,0,0,0,1,130.15233,-45.509583,10.21,0.022,0.0,9.6,0.022,0.0,9.35,0.02,0.0,3.5,0.1,0.0,18.1,0.03,0.0,17.7,0.03,0.0,17.4,0.03,0.0,15.3,0.14,0.0,M3,0.33,0.0,0.0,0.0,100.0,30.0,-30.0,0.0,0.0,0.0,0.0,0.0,11.0,0.6,-0.6,0.0,T3.5,1050.0,50.0,-50.0,0.0,1.36,0.025,0.025,0.0,"cloudy, Saumon and Marley (2008)",1,"multiple mass estimates are listed in paper, but the author commits to the value given.",GU Psc b,GU Psc,14.179,3591.3,11.546399999999998,2000.0,G,5552.0,0.95,1.395,0.1,610995431.9318966,19173.303963558927,27649.922557974453,12.155367899816127,78.26287079966109,1.5,no,0.8360944960676454,Gas Giant,High-mass
VHS J125601.92-125723.9 b,56:02.2,194.008964,-12:57:21.7,-12.956031,8.1,0.04,0.0,7.09,0.04,0.0,8.06,0.04,0.0,3.9,0.172,0.0,8.06,0.03,-0.03,0.0,102.0,9.0,-9.0,0.0,34.5,2.0,-2.0,0.0,218.1,0.2,-0.2,0.0,12.7,1.0,-1.0,0.0,ESO:VISTA,VIRCAM,7/1/2011,AB Doradus,<a href=https://ui.adsabs.harvard.edu/abs/2015ApJ...804...96G/abstract target=ref>Gauza et al. 2015</a>,0,0,0,1,304.67118,49.9002002,11.36,0.022,1.0,11.02,0.022,1.0,10.42,0.02,1.0,3.5,0.1,0.0,17.1,0.02,0.0,15.78,0.01,0.0,14.7,0.01,0.0,15.3,0.14,0.0,M7.5,0.07,0.02,-0.01,0.0,225.0,75.0,-75.0,0.0,0.0,0.0,0.0,0.0,11.0,9.7,-1.8,0.0,L7,880.0,140.0,-110.0,0.0,1.36,0.025,0.025,0.0,"this work, Gagne et al. (2014), Chauvin et al. (2005), McLean et al. (2003), Liu et al. (2013)",1,"multiple mass estimates are listed in paper, but the author commits to the value given.",VHS J125601.92-125723.9 b,VHS J125601.92-125723.9,13.675,5085.25451,5800000.0,350.0,G,5552.0,0.95,1.395,0.0185,610995431.9318966,19173.303963558927,27649.922557974453,396.90997223889394,187.08404445679247,1.5,no,0.8360944960676454,Gas Giant,High-mass
WD 0806-661 b,06:53.7,121.723902,-66:18:16.7,-66.3046498,8.1,0.04,0.0,7.09,0.04,0.0,8.06,0.04,0.0,3.9,0.172,0.0,130.2,0.2,-0.2,0.0,102.0,9.0,-9.0,0.0,34.5,2.0,-2.0,0.0,104.2,0.2,-0.2,0.0,19.2,0.6,-0.6,0.0,Spitzer,IRAC,"2004-12-15, 2009-08-24",AB Doradus,<a href=https://ui.adsabs.harvard.edu/abs/2011ApJ...730L...9L/abstract target=ref>Luhman et al. 2011</a>,0,0,0,1,279.42255,-17.5715768,11.36,0.022,1.0,11.02,0.022,1.0,10.42,0.02,1.0,3.5,0.1,0.0,17.1,0.02,0.0,15.78,0.01,0.0,14.7,0.01,0.0,15.3,0.14,0.0,DQ,0.62,0.03,-0.03,0.0,1500.0,500.0,-300.0,0.0,0.0,0.0,0.0,0.0,7.0,9.7,-1.8,0.0,L7,300.0,140.0,-110.0,0.0,1.36,0.025,0.025,0.0,"Burrows et al. (1997), Burrows et al. (2003)",1,Spitzer data were collected in 4.5 microns.,WD 0806-661 b,WD 0806-661,2.38,2542.62726,11.546399999999998,2500.0,G,5552.0,0.95,1.395,0.0185,610995431.9318966,19173.303963558927,27649.922557974453,7.7794354558823215,70.0004396889302,1.5,no,0.8360944960676454,Neptune-like,High-mass
WISEP J121756.91+162640.2 A b,17:56.9,184.487125,+16:26:40.2,16.4445,2.2,0.04,0.0,2.1,0.02,0.0,2.16,0.13,0.0,3.9,0.172,0.0,0.757,0.003,-0.003,0.0,8.0,1.3,-1.3,0.0,34.5,2.0,-2.0,0.0,104.2,0.2,-0.2,0.0,10.5,1.7,-1.7,0.0,Keck:II,NIRC2,1/29/2012,AB Doradus,<a href=https://ui.adsabs.harvard.edu/abs/2012ApJ...758...57L/abstract target=ref>Liu et al. 2012</a>,0,0,0,1,265.23847,76.7973725,17.98,0.02,0.0,18.31,0.05,0.0,18.94,0.04,0.0,3.5,0.1,0.0,20.1,0.03,0.0,20.51,0.06,0.0,21.1,0.12,0.0,15.3,0.14,0.0,T9,0.03,0.0,0.0,0.0,5000.0,500.0,-300.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,-2.0,0.0,Y0,470.0,30.0,-30.0,0.0,1.36,0.025,0.025,0.0,Lyon/COND models and M(J),1,"Different angular separations and position angles are listed for each filter, for data obtained on the same night. The H-band separation and position angles are shown here.",WISEP J121756.91+162640.2 A b,WISEP J121756.91+162640.2 A,10.468,6992.0,11.546399999999998,8.0,M,575.0,0.09,1.395,0.0185,630.8837200030426,19173.303963558927,27649.922557974453,0.784439551208496,39.446058829237444,1.5,no,0.8360944960676454,Gas Giant,High-mass
LkCa 15 b,39:17.8,69.824148,+22:21:03.4,22.350967,2.2,0.04,0.0,2.1,0.02,0.0,2.16,0.13,0.0,5.4,4.9,0.0,0.106,0.081,-0.019,0.0,14.7,2.1,-2.1,0.0,34.5,2.0,-2.0,0.0,260.0,21.0,-16.0,0.0,10.5,1.7,-1.7,0.0,LBT,NRM,12/15/2014,AB Doradus,<a href=https://ui.adsabs.harvard.edu/abs/2015Natur.527..342S/abstract target=ref>Sallum et al. 2015</a>,1,0,0,1,176.6897,-15.9816355,17.98,0.02,0.0,18.31,0.05,0.0,18.94,0.04,0.0,3.5,0.1,0.0,20.1,0.03,0.0,20.51,0.06,0.0,21.1,0.12,0.0,15.3,0.14,0.0,T9,0.03,0.0,0.0,0.0,5000.0,500.0,-300.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,-2.0,0.0,Y0,470.0,30.0,-30.0,0.0,1.36,0.025,0.025,0.0,Lyon/COND models and M(J),1,"Rather than Jupiter masses, the companions are characterized with planet mass accretion rate.",LkCa 15 b,LkCa 15,2.38,187.5197,11.546399999999998,14.7,K,4194.0,1.61,1.395,0.0185,571423871.7826413,19173.303963558927,27649.922557974453,210432.9996642991,897.722704054077,1.5,no,0.6515329880487986,Neptune-like,High-mass
LkCa 15 c,39:17.8,69.824148,+22:21:03.4,22.350967,2.2,0.04,0.0,2.1,0.02,0.0,2.16,0.13,0.0,4.8,4.3,0.0,0.068,0.037,-0.043,0.0,18.6,2.5,-2.7,0.0,34.5,2.0,-2.0,0.0,316.0,16.0,-21.0,0.0,10.5,1.7,-1.7,0.0,LBT,NRM,"2015-02-05, 2015-02-06, 2015-02-07",AB Doradus,<a href=https://ui.adsabs.harvard.edu/abs/2015Natur.527..342S/abstract target=ref>Sallum et al. 2015</a>,1,0,0,1,176.6897,-15.9816355,17.98,0.02,0.0,18.31,0.05,0.0,18.94,0.04,0.0,3.5,0.1,0.0,20.1,0.03,0.0,20.51,0.06,0.0,21.1,0.12,0.0,15.3,0.14,0.0,T9,0.03,0.0,0.0,0.0,5000.0,500.0,-300.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,-2.0,0.0,Y0,470.0,30.0,-30.0,0.0,1.36,0.025,0.025,0.0,Lyon/COND models and M(J),1,"Rather than Jupiter masses, the companions are characterized with planet mass accretion rate.",LkCa 15 c,LkCa 15,2.38,187.5197,11.546399999999998,18.6,K,4194.0,1.61,1.395,0.0185,571423871.7826413,19173.303963558927,27649.922557974453,131438.5099359995,798.0762819807554,1.5,no,0.5413107393192801,Neptune-like,High-mass
2MASS J02192210-3925225 b,19:22.1,34.842106,-39:25:22.5,-39.422928,3.77,0.1,0.0,4.22,0.103,0.0,3.38,0.103,0.0,4.8,4.3,0.0,3.96,0.02,-0.02,0.0,156.0,10.0,-10.0,0.0,34.5,2.0,-2.0,0.0,173.9,0.2,-0.2,0.0,39.4,2.6,-2.6,0.0,CTIO:1.5m,SIMON,11/5/2013,Tucana-Horologium,<a href=https://ui.adsabs.harvard.edu/abs/2015ApJ...806..254A/abstract target=ref>Artigau et al. 2015</a>,0,0,0,1,252.45377,-67.9844531,11.32,0.026,0.0,10.86,0.027,0.0,10.44,0.03,0.0,3.5,0.1,0.0,15.5,0.1,0.0,14.63,0.1,0.0,13.8,0.1,0.0,15.3,0.14,0.0,M6,0.36,0.04,-0.04,0.0,120.0,10.0,-10.0,0.0,0.0,0.0,0.0,0.0,14.0,1.1,-1.1,0.0,L4,470.0,30.0,-30.0,0.0,1.36,0.025,0.025,0.0,"BT-Settl, Allard et al. 2014",1,"Rather than Jupiter masses, the companions are characterized with planet mass accretion rate.",2MASS J02192210-3925225 b,2MASS J02192210-3925225,16.141,4417.837,11.546399999999998,156.0,M,3064.0,0.28,1.395,0.0185,4923387.621916191,1721.1153997295594,2482.0295764521015,16.099224950390642,83.9585616190199,1.5,no,0.5413107393192801,Gas Giant,High-mass
TYC 8998-760-1 b,25:12.1,201.300542,-64:56:20.69,-64.9390806,3.77,0.1,0.0,4.22,0.103,0.0,3.38,0.103,0.0,4.8,4.3,0.0,1.71,0.02,-0.02,0.0,162.0,10.0,-10.0,0.0,34.5,2.0,-2.0,0.0,173.9,0.2,-0.2,0.0,94.6,0.3,-0.3,0.0,"VLT:Antu, VLT:Melipal","NACO, SPHERE","2017-07-05, 2019-03-17, 2019-03-23, 2019-05-18",Sco OB2/Lower Centaurus-Crux (LCC),<a href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.492..431B/abstract target=ref>Bohn et al. 2020</a>,0,0,0,1,306.4997,-2.3014173,11.32,0.026,0.0,10.86,0.027,0.0,10.44,0.03,0.0,3.5,0.1,0.0,15.5,0.1,0.0,14.63,0.1,0.0,13.8,0.1,0.0,15.3,0.14,0.0,K3 IV,1.0,0.02,-0.02,0.0,17.0,1.0,-1.0,0.0,0.5,0.0,0.0,0.0,14.0,3.0,-3.0,0.0,L0,1727.0,172.0,-127.0,0.0,3.0,0.2,-0.7,0.0,"BT-Settl (Allard et al. 2012), AMES/DUSTY (Allard et al. 2001; Chabrier et al. 2000)",1,"Projected separation star-planet and position angle star-planet are the average across the J, H, Ks, and L' band",TYC 8998-760-1 b,TYC 8998-760-1,2.38,4449.62,11.546399999999998,162.0,K,4573.0,0.95,1.395,0.0185,281219180.9442199,1721.1153997295594,2482.0295764521015,852.7172446945347,226.49833243620637,1.5,no,0.5413107393192801,Neptune-like,High-mass
2MASS J01033563-5515561 AB b,03:35.6,15.8984583,-55:15:56.1,-55.2655833,3.77,0.1,0.0,4.22,0.103,0.0,3.38,0.103,0.0,4.8,4.3,0.0,1.784,0.003,-0.003,0.0,84.0,10.0,-10.0,0.0,34.5,2.0,-2.0,0.0,339.3,0.0,0.0,0.0,47.2,3.1,-3.1,0.0,VLT:Antu,NACO,11/25/2012,Tucana-Horologium,<a href=https://ui.adsabs.harvard.edu/abs/2013A&A...553L...5D/abstract target=ref>Delorme et al. 2013</a>,0,0,0,2,299.26975,-61.7760661,10.73,0.08,0.0,10.15,0.08,0.0,9.81,0.08,0.0,3.5,0.1,0.0,15.4,0.3,0.0,14.2,0.2,0.0,13.6,0.2,0.0,12.6,0.1,0.0,M5.5/M6,0.19,0.02,-0.02,0.0,30.0,1.0,-1.0,0.0,0.5,0.0,0.0,0.0,13.0,1.0,-1.0,0.0,L0,1727.0,172.0,-127.0,0.0,3.0,0.2,-0.7,0.0,BT-Settl (Allard et al. 2012; Baraffe et al. 2003),1,Companion magnitude measurements derived relative to 2MASS0103A; Ks filter used,2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2.38,4131.79,11.546399999999998,84.0,G,5552.0,0.95,1.395,0.0185,610995431.9318966,19173.303963558927,27649.922557974453,6890.798129147464,381.88370661275434,1.5,no,0.5413107393192801,Neptune-like,High-mass
